rank,hover,alpha,size,ctrl,num_props
17,SP,7.105845418892035,0.18934641314796555,0.0,5
1,ST,6.216634650244146,0.052628036015950674,4427.309559103516,5
4,ST,5.700102720329258,0.4417784818125785,1036.578306890909,5
3,ST,8.037030013044095,0.25359612913376917,1221.1096408757883,7
3,ST,8.970365198817566,0.31433013651701525,641.5966331497258,7
23,N,0.0,0.0933301633019589,0.0,4
23,N,0.0,0.39097632532585735,0.0,4
7,ST,3.795223891031976,0.8311859925512879,59.61459823612687,8
1,ST,6.902563830822675,0.06414003200509694,3668.7201626745446,4
21,SP,5.195788321371455,0.827533106392174,0.0,6
2,ST,5.420248519173622,0.16577593194022572,4702.752752689063,5
6,ST,7.76721633518985,0.5345861684995585,180.4441153157691,7
19,SP,8.304645567012557,0.44562094900847,0.0,6
23,N,0.0,0.8216710191185682,0.0,4
2,ST,6.7608281017192,0.14227438302175338,268.6683009835284,6
1,ST,9.42348750126368,0.185989700235788,5462.208144367621,6
19,SP,5.150975537572944,0.4360407717550141,0.0,5
18,SP,7.257622097339348,0.34215281970080014,0.0,6
15,SP,10.204183097242447,0.06579701796833225,0.0,5
7,ST,6.513088927204754,1.1758757471068513,54.31972962635148,8
20,SP,6.732626768542592,0.7616411439023427,0.0,5
16,SP,5.801343928511165,0.04436481104169667,0.0,4
6,ST,8.099101481229589,1.3668650812568477,171.47182975069538,7
15,SP,7.068821890558482,0.05499080169191889,0.0,4
1,ST,10.247325978349808,0.14468247777499996,4148.3909216894535,7
4,ST,6.216892760720431,0.27337656495529616,984.375031290094,6
5,ST,4.156330143488109,0.3841351426650488,666.1860991760669,7
17,SP,8.201027942270837,0.3169797552797194,0.0,6
5,ST,7.87653676759899,0.742044410414102,234.00223595541783,7
2,ST,9.07230745818599,0.17291833990310296,3325.8248195190063,7
14,ST,1.037994614027321,86.85391404526719,0.08796029097795496,7
18,SP,3.9468477533911583,0.20493470229054783,0.0,6
5,ST,8.172295011959072,0.5307810035936171,216.63826478195008,7
23,N,0.0,0.18174589248978812,0.0,5
23,N,0.0,2.451227356044743,0.0,4
15,SP,6.10322686215628,0.043510990970516236,0.0,4
16,SP,10.559048094626336,0.46908577901816706,0.0,7
5,ST,4.911582333972992,0.7317334484878159,505.2276169092731,8
23,N,0.0,0.06588770812092137,0.0,4
9,ST,3.6348287790309612,1.8063616011934998,107.20734029869594,8
12,ST,1.0789050103904743,17.840029255083092,3.212450793520352,8
5,ST,4.897559631939097,0.4688495229271297,401.97218976408476,7
23,N,0.0,4.32998652854408,0.0,7
23,N,0.0,0.33555660280919364,0.0,5
15,SP,10.428143993315343,0.08089495049132141,0.0,4
7,ST,6.297486952059253,0.9314921618958533,163.388586513653,8
1,ST,9.08073255742158,0.1374613313336085,1294.8923476471634,5
15,SP,4.702449656538312,0.04239803263506034,0.0,4
21,SP,4.616378117907426,0.8253988503010109,0.0,6
23,N,0.0,0.5285277010221804,0.0,6
4,ST,8.26813421684685,0.42798160247768824,1020.2130267329921,8
20,SP,4.987578582420736,0.5884353351899618,0.0,6
23,N,0.0,0.0792964514547778,0.0,5
23,N,0.0,0.16214677432117738,0.0,4
4,ST,7.993540411758861,0.263237973147865,634.3273732159981,7
1,ST,9.65071758910422,0.09838051636808848,653.0943245001639,6
10,ST,2.4654401015598673,4.516596047156758,34.67534727999708,7
16,SP,5.8548653375286035,0.04675221805195343,0.0,4
17,SP,5.265250917240917,0.05998473011375062,0.0,4
13,ST,1.794168854284599,30.516504461413337,0.9322302630469921,8
22,SP,3.9909351512097273,1.623526178611175,0.0,6
16,SP,9.623614517701554,0.3652577331315792,0.0,6
23,N,0.0,0.2797057991735574,0.0,5
1,ST,7.570129556713795,0.06857492739368957,3125.4972833323245,4
9,ST,5.139572790577609,2.497952241249854,23.565192235099857,8
2,ST,9.491861818466537,0.24791072176849208,1038.11783764713,6
16,SP,9.094139642609298,0.13763583566379856,0.0,5
6,ST,6.950875694026999,0.8808847833760831,253.22339399221704,8
21,SP,3.4912161475454284,0.607491893134425,0.0,4
7,ST,4.17941047831492,0.9867604613095796,187.05923955441813,8
23,N,0.0,0.0390292390683168,0.0,4
2,ST,6.002501747435685,0.09035874393106594,3369.6693513773525,5
23,N,0.0,12.393308202451955,0.0,7
12,ST,1.6786717989992193,21.76839182506794,0.8987660633754025,6
23,N,0.0,0.235042952813966,0.0,5
6,ST,6.679645191956657,0.6313326158930525,237.51887908799108,8
17,SP,5.271620127896254,0.07743871841598807,0.0,4
4,ST,7.422600432960245,0.3223005225056553,967.7652594518048,8
23,N,0.0,0.10384897587073613,0.0,5
1,ST,7.043722685097384,0.16825857823254875,4802.281115736968,6
3,ST,6.141201290675027,0.18445799920404551,812.0499210054184,5
5,ST,7.3339283880356,1.173019906488225,261.33071789976026,8
11,ST,3.501275192699658,3.160105528612768,6.339724580105276,5
5,ST,5.7666893712992895,0.3822939455673559,173.7143638978561,7
2,ST,6.050869765487335,0.08303933016104763,1512.1221759541982,4
3,ST,8.839550392721181,0.28634057747365205,1098.4928060048248,8
8,ST,6.186757702223763,1.3739698440633892,130.0210587922657,8
15,SP,10.645145955565603,0.1387123185126368,0.0,5
21,SP,6.152637208884484,0.8855712758619008,0.0,5
18,SP,9.14553367821786,0.4258840869842343,0.0,8
7,ST,3.874966057818004,0.8930333898317031,142.07761071554103,8
8,ST,5.0320259171715875,1.3362795938421006,147.61895078499364,8
3,ST,6.142039253224392,0.2525322535269439,727.4056890487642,6
17,SP,9.371978709380285,0.4103961508463457,0.0,6
12,ST,2.1433162841123967,23.13957560056319,1.3734512754275108,7
23,N,0.0,0.03938462624022356,0.0,4
7,ST,7.2103043967999385,2.412900657663195,48.46151585686547,8
10,ST,4.384379883295585,2.824926951300418,18.615144377489703,7
5,ST,7.070073188552752,0.6042534567807526,391.42546224581,6
1,ST,7.43995350911119,0.1460161075285421,4787.841285502471,7
